,0,1,2,3,4,5,6,7,8,C/M
2028,099410,동방선기,965.0,4850.0,3106.528455284553,850.7145167345566,1600.0,1.9415802845528456,0.038288850194725624,0.515044372852346
981,060560,홈센타홀딩스,896.0,1535.0,1171.0365853658536,138.27332693532065,933.0,1.2551303165764776,0.04258068692000844,0.7967300182244208
1069,033340,좋은사람들,1030.0,2560.0,1717.8200045063788,381.2750802243835,1075.0,1.597972097215236,0.045900370216911,0.6257931548008168
649,053980,오상자이엘,6450.0,18100.0,10642.682926829268,2302.7720910102867,6800.0,1.5651004304160687,0.04758639517419028,0.6389366334364616
2225,332570,와이팜,10050.0,18800.0,13864.052287581699,1741.5534648503424,11050.0,1.254665365392009,0.05306566384193022,0.7970252687158212
1769,058110,멕아이씨에스,3995.1042115120185,40311.0712605752,26151.83581292147,8658.953272825658,12250.0,2.134843739830324,0.05419334989260217,0.46841835837571855
807,091090,세원셀론텍,1281.99867825153,3272.107209002708,2476.771279715406,336.0107896080426,1955.0,1.2668906801613329,0.060230580547594864,0.7893340882992796
1650,096300,베트남개발1,227.0,310.0,269.9349593495935,26.58854743095487,229.0,1.1787552810025916,0.061832466638794104,0.848352508885007
579,102940,코오롱생명과학,11200.0,48950.0,29685.30612244898,6909.1134582416435,19050.0,1.558283785955327,0.061863633770547086,0.6417316338736956
346,294140,레몬,7560.0,19700.0,13636.869918699187,3004.9271714067827,9030.0,1.5101738558913829,0.06262495003060914,0.6621754151675128
1503,062970,피피아이,3800.0,11800.0,7870.243902439024,1602.7476221379304,5420.0,1.4520745207452075,0.06315985247644591,0.6886698896739804
1518,053110,소리바다,214.0,673.1900726938478,408.3720570860514,89.4007474923934,273.0,1.4958683409745475,0.06498551145704683,0.6685080314946081
2276,317690,퀀타매트릭스,15000.0,30859.825587227882,21596.677712845645,3579.4045895254526,16200.0,1.3331282538793607,0.0658153260792411,0.7501153749386317
2274,352770,클리노믹스,12450.0,22350.0,16564.531201072255,2443.945292518873,12900.0,1.2840721861296323,0.06688072311904505,0.7787724170041683
1712,076610,해성옵틱스,792.1549589597273,2456.0403657552783,1590.1853249586918,269.37766210733486,1190.0,1.3362901890409176,0.06869352383320311,0.7483404489542201
821,043220,에이치엘비파워,952.0,1660.0,1279.9105691056911,136.1447014193823,1080.0,1.1851023788015658,0.07100209844294378,0.843808955148035
1091,052670,제일바이오,4185.0,9310.0,7759.491869918699,856.7891210168436,6510.0,1.1919342350105528,0.07237309969078089,0.8389724622610126
2072,18064K,한진칼우,18200.0,69400.0,48424.186991869916,5611.8182827280425,40300.0,1.201592729326797,0.07385154036797642,0.8322287374027795
1156,084670,동양고속,21900.0,31400.0,25927.642276422765,1387.8143622850257,23950.0,1.0825737902472972,0.07707789131685834,0.9237245617885923
2260,301300,바이브컴퍼니,28450.0,42350.0,32992.63157894737,2724.4359988368456,29150.0,1.1318226956757245,0.07920608839510401,0.8835306128960214
153,084850,아이티엠반도체,32490.292442264275,71176.94538137123,56089.56060213311,7092.886305838654,46100.0,1.2166932885495252,0.07950759117091655,0.8218998242294449
661,214420,토니모리,6300.0,11950.0,9716.626016260163,1077.2764214150045,8200.0,1.184954392226849,0.07959016412536485,0.8439143367541178
2236,331920,셀레믹스,18850.0,33216.451479264826,24874.03505435812,3216.4933761691796,20400.0,1.2193154438410843,0.08211776821562405,0.8201323169087424
2168,032685,소프트센우,16850.0,62000.0,36831.50406504065,8385.158984655127,25200.0,1.4615676216285973,0.08269745457486527,0.6841968754656174
2313,247660,나노씨엠에스,19600.0,23950.0,21685.714285714286,1509.0599407451994,19600.0,1.1064139941690962,0.08346617197399903,0.903820816864295
