,Code,Name,Close,Stocks,Marcap,Assets,Liabilities,Equity,Profit,P/E
1289,100250,진양홀딩스,3400.0,55895292.0,190043992800.0,559592980732,168237326729,391355654003,13848536201,0.48560431120932057
467,038060,루멘스,925.0,48103069.0,44495338825.0,178179693096,86796895473,91382797623,0,0.48691154114766383
58,009440,KC그린홀딩스,5060.0,22434980.0,113520998800.0,766924124210,534182071708,232742052502,13949583382,0.4877545659653598
1469,005490,POSCO,285000.0,87186835.0,24848247975000.0,83469600711891,32614320071532,50855280640359,1807172023399,0.4886070367150881
1123,039020,이건홀딩스,6350.0,22584709.0,143412902150.0,673267058071,380279340619,292987717452,7437555590,0.48948434902734533
604,023600,삼보판지,14300.0,16170000.0,231231000000.0,636396547875,164005438459,472391109416,17733648199,0.48949058394825107
180,013580,계룡건설,36800.0,8930907.0,328657377600.0,2373469164724,1706461425546,667007739178,46883251911,0.49273397937635227
1317,002380,KCC,315500.0,8886471.0,2803681600500.0,13596381422597,7916968448663,5679412973934,380919064539,0.4936569348571167
156,024070,WISCOM,3840.0,15326438.0,58853521920.0,133170875964,15012021546,118158854418,1004726706,0.498088122213839
618,145990,삼양사,67700.0,10313449.0,698220497300.0,2738589000000,1338176000000,1400413000000,26553000000,0.49858184499858255
176,000050,경방,13700.0,27415270.0,375589199000.0,1284289875524,532223783897,752066091627,10381436230,0.49940983004227757
101,034310,NICE,16950.0,37882300.0,642104985000.0,2839611773254,1558586142843,1281025630411,31045077495,0.5012428867594079
596,003960,사조대림,26800.0,9164467.0,245607715600.0,1168876340095,679372983539,489503356556,19026320675,0.5017487874404434
1544,024720,한국콜마홀딩스,22200.0,18576719.0,412403161800.0,1185286136696,364178871762,821107264934,15162274775,0.5022524819983765
1585,002220,한일철강,3125.0,26697460.0,83429562500.0,314030289122,147967077227,166063211895,10308300293,0.5023964160873368
946,067570,엔브이에이치코리아,3950.0,32824712.0,129657612400.0,877547811167,619633446687,257914364480,3439138707,0.5027157469938217
75,025000,KPX케미칼,58500.0,4840000.0,283140000000.0,764113427483,203419324548,560694102935,17151560080,0.5049812340059938
665,027040,서울전자통신,729.0,69588847.0,50730269463.0,156313756861,55891926235,100421830626,241760965,0.5051717255776209
465,011170,롯데케미칼,219500.0,34275419.0,7523454470500.0,21454650526504,6583301269686,14871349256818,500876119456,0.5059026145224016
518,095500,미래나노텍,4035.0,28816529.0,116274694515.0,405712239461,176530595181,229181644280,7517999019,0.5073473265290948
1326,030200,KT,30450.0,261111808.0,7950854553600.0,34138950000000,18475177000000,15663773000000,370788000000,0.507595108381614
376,282690,동아타이어,13500.0,13733015.0,185395702500.0,395130456487,31398417703,363732038784,4165403043,0.5097040753401877
1278,013870,지엠비코리아,6270.0,19072280.0,119583195600.0,512794436660,279087824630,233706612030,2052532168,0.5116808401837154
110,101060,SBS미디어홀딩스,2020.0,139896190.0,282590303800.0,612898067900,60726512027,552171555873,20944123383,0.511779900276131
629,037460,삼지전자,11950.0,16318522.0,195006337900.0,801183439064,420679758168,380503680896,12495379971,0.5124952732147143
374,088130,동아엘텍,10250.0,10662938.0,109295114500.0,258767745625,46192872886,212574872739,4810123863,0.5141487942189331
1622,004560,현대비앤지스틸,15800.0,15078811.0,238245213800.0,719304548765,255941454178,463363094587,19274720473,0.5141652768275606
1566,213500,한솔제지,13900.0,23800576.0,330828006400.0,1847305450713,1206031149835,641274300878,10124370204,0.5158915708099439
1046,006980,우성,29450.0,3090000.0,91000500000.0,348916062184,172671030331,176245031853,951336337,0.5163294479466544
328,015230,대창단조,7640.0,14286115.0,109145918600.0,272993376332,61786306628,211207069704,3497990192,0.5167720888934473
94,001120,LX인터내셔널,26400.0,38760000.0,1023264000000.0,6405926553223,4427143494067,1978783059156,110987512409,0.5171178291957116
923,007460,에이프로젠 MED,1790.0,199155230.0,356487861700.0,839340832125,150682612637,688658219488,10799461723,0.5176557131127248
24,155660,DSR,5600.0,16000000.0,89600000000.0,271998800618,100510541173,171488259445,3098139120,0.5224847478770793
1663,115160,휴맥스,4760.0,42529028.0,202438173280.0,1052113224624,664935861070,387177363554,15831292126,0.5228564279217366
378,001520,동양,1720.0,238684063.0,410536588360.0,997497251745,216743462473,780753789272,5749115222,0.5258208080460264
82,034220,LG디스플레이,20350.0,357815700.0,7281549495000.0,36323689000000,22562966000000,13760723000000,423834000000,0.5291545724014647
1521,005430,한국공항,45400.0,3166355.0,143752517000.0,389368691511,117834345751,271534345760,3778361898,0.5294082286262894
646,041650,상신브레이크,4400.0,21471450.0,94474380000.0,457004486853,279879516503,177124970350,1749276955,0.5333769700190666
1248,002620,제일파마홀딩스,17200.0,15973355.0,274741706000.0,899184128887,385925656226,513258472661,2121630330,0.535289178132015
1401,015890,태경산업,6470.0,29228750.0,189110012500.0,544355515674,192110860983,352244654691,7591383225,0.5368712057984051
18,012030,DB,1010.0,201173933.0,203185672330.0,549564429176,171482283191,378082145985,4645715777,0.5374114448082432
602,053700,삼보모터스,6270.0,18823896.0,118025827920.0,800611688127,581600788558,219010899569,3254330660,0.5389038999988931
107,091340,S&K폴리텍,5720.0,11703721.0,66945284120.0,269958808412,145930972221,124027836191,2192642280,0.5397601552679336
1195,000230,일동홀딩스,13400.0,11540400.0,154641360000.0,900128581104,613790830633,286337750471,5092835872,0.5400662670068085
488,072870,메가스터디,14500.0,11920959.0,172853905500.0,403971184105,84614682255,319356501850,9056526118,0.5412568853261943
1257,004910,조광페인트,8390.0,12800000.0,107392000000.0,361177353310,163044133738,198133219572,1868378747,0.5420191537390054
127,001740,SK네트웍스,5120.0,248187647.0,1270720752640.0,9407103000000,7069504000000,2337599000000,39473000000,0.5436008283028868
1647,013520,화승코퍼레이션,2475.0,50051252.0,123876848700.0,1218301621755,990513071801,227788549954,12118937756,0.5438238608789419
12,097950,CJ제일제당,381500.0,15054186.0,5743171959000.0,26104793270000,15552631119000,10552162151000,261462166000,0.5442649455927604
1407,004100,태양금속,1555.0,36700000.0,57068500000.0,447395084209,342611500118,104783584091,878050116,0.5446320670844632
1181,129260,인터지스,3690.0,29747874.0,109769655060.0,381783367438,180295973615,201487393823,5318268036,0.5447966395179492
245,042420,네오위즈홀딩스,44950.0,8856866.0,398116126700.0,821165286892,95818009853,725347277039,52768607764,0.5488627851822684
1554,060980,한라홀딩스,49950.0,10472070.0,523079896500.0,2116875894987,1164491626003,952384268984,33864141812,0.549231978661323
121,004060,SG세계물산,704.0,202424960.0,142507171840.0,329772123160,71232795221,258539327939,54664095963,0.5512011382408454
1646,006060,화승인더,6540.0,55320000.0,361792800000.0,1528001716480,876542793553,651458922927,11915344525,0.5553578088614823
1454,065690,파커스,2825.0,14049331.0,39689360075.0,143090695224,71653608438,71437086786,805982539,0.5555848070050106
389,163560,동일고무벨트,8130.0,13900000.0,113007000000.0,301531264677,99457654040,202073610637,688843471,0.5592368030826299
1307,071850,캐스텍코리아,3480.0,16569188.0,57660774240.0,258155294361,155101576689,103053717672,1818864465,0.5595215344246295
