Num,Name,Value,Weight,Share
394,엔에스쇼핑,120.118194,9.21502E-05,3.77
395,에이치엘비,119.876319,9.19646E-05,0.24
396,두산중공업,118.7639596,9.11113E-05,1.03
397,SBS콘텐츠허브,116.934516,8.97078E-05,10.09
398,동원시스템즈,115.49496,8.86034E-05,1.53
399,KH바텍,115.3450935,8.84884E-05,2.17
400,HB테크놀러지,114.3044146,8.76901E-05,4.83
401,메지온,114.196535,8.76073E-05,0.69
402,호전실업,111.83154,8.5793E-05,9.64
403,메가스터디교육,110.657675,8.48924E-05,2.26
404,대림산업우,109.083625,8.36849E-05,6.95
405,아모레G우,107.59122,8.254E-05,5.15
406,이노와이어리스,106.969404,8.20629E-05,5.37
407,KG이니시스,106.95856,8.20546E-05,2.25
408,한화시스템,106.7880915,8.19238E-05,0.94
409,동성코퍼레이션,106.6869864,8.18463E-05,4.5
410,펩트론,106.659717,8.18253E-05,3.56
411,팜스코,105.204438,8.07089E-05,6.23
412,일신방직,104.291128,8.00083E-05,6.07
413,심텍,103.911256,7.97168E-05,3.68
414,KPX케미칼,102.168336,7.83797E-05,3.8
415,유나이티드제약,100.0043805,7.67196E-05,3.36
416,대양전기공업,98.262575,7.53834E-05,7.39
417,동원산업,96.953715,7.43793E-05,1.25
418,한세예스24홀딩스,96.9465582,7.43738E-05,3.28
419,하이록코리아,96.311232,7.38864E-05,3.68
420,CJ헬로,95.1567595,7.30007E-05,2.03
421,삼천당제약,93.850144,7.19983E-05,1.19
422,JW홀딩스,93.243273,7.15328E-05,2.28
423,웹케시,93.0637725,7.1395E-05,3.21
424,코스맥스비티아이,93.011861,7.13552E-05,7.2
425,메디포스트,92.70345,7.11186E-05,1.7
426,대한제강,92.5607412,7.10091E-05,6.23
427,한일홀딩스,92.509592,7.09699E-05,3.52
428,인터로조,92.26505,7.07823E-05,3.07
429,신대양제지,91.10283,6.98907E-05,3.8
430,자화전자,90.89447,6.97308E-05,4.79
431,아이센스,89.260983,6.84777E-05,2.53
432,메가스터디,89.1647325,6.84038E-05,6.31
433,제이브이엠,88.864232,6.81733E-05,4.74
434,하림지주,88.2510319,6.77029E-05,1.1
435,클리오,87.92292,6.74512E-05,2.36
436,현대에이치씨엔,86.4447958,6.63172E-05,2.25
437,영풍정밀,85.61183,6.56782E-05,6.39
438,SFA반도체,84.17570805,6.45765E-05,1.37
439,쏠리드,83.7043856,6.42149E-05,2.96
440,노루홀딩스,83.360375,6.3951E-05,5.02
441,아모레G3우,83.346354,6.39402E-05,2.15
442,무학,82.7892162,6.35128E-05,3.42
443,한일현대시멘트,82.0179885,6.29211E-05,1.6
444,아시아나항공,79.297434,6.0834E-05,0.66
445,윈스,78.387407,6.01359E-05,4.86
446,사람인에이치알,78.10047,5.99158E-05,2.17
447,유진기업,77.8855763,5.97509E-05,2
448,화천기공,76.8792,5.89788E-05,8.74
449,삼성물산우B,76.506186,5.86927E-05,6.04
450,파트론,75.019956,5.75525E-05,1.05
451,휴온스,74.88234,5.74469E-05,1.54
452,하이비젼시스템,74.523375,5.71715E-05,3.99
