,0,1,2,3,4,5,6,7,8,C/M,Max/Current
56,005830,DB손해보험,23800.0,83800.0,59758.998252766454,10493.22607216256,44500.0,1.3428988371408193,0.07294874883133379,0.7446577302346251,1.8831460674157303
179,029530,신도리코,19500.0,76900.0,51121.811298776935,14343.099155887006,30300.0,1.6871884917088098,0.07329315721147046,0.5927020039042497,2.537953795379538
324,007660,이수페타시스,1785.0,7290.0,4741.654047757717,889.6238999024272,3455.0,1.3724034870499906,0.07404795583246937,0.7286486878210434,2.109985528219971
674,008500,일정실업,8560.0,32350.0,22758.369248689574,5732.475821207808,14550.0,1.5641490892570153,0.07608529439821148,0.6393252451881098,2.223367697594502
193,000815,삼성화재우,86100.0,237000.0,172845.83576004658,21813.208701368683,142500.0,1.2129532334038358,0.08208725924984045,0.8244340939623548,1.6631578947368422
447,013520,화승코퍼레이션,1483.3872986833576,6462.409014264019,3594.1235337559256,1033.2631506895589,2160.0,1.663946080442558,0.08257525959909251,0.6009810123979684,2.991856025122231
315,001130,대한제분,91500.0,269000.0,177288.58474082703,23491.359521748065,145000.0,1.2226798947643245,0.08464516296304608,0.8178755570302014,1.8551724137931034
416,069640,한세엠케이,1925.0,19646.483041479638,10023.874606277857,4618.259653872963,3680.0,2.723878969097244,0.08477510811071881,0.36712350708130875,5.33871821779338
469,005800,신영와코루,64300.0,189000.0,131831.93473193474,26549.21531431108,95400.0,1.3818861083012028,0.08499413694556224,0.7236486378963113,1.9811320754716981
718,005725,넥센우,2025.0,6120.0,4059.9288678126854,787.5667481792046,2985.0,1.3601101734715864,0.08614642947237461,0.7352345563650698,2.050251256281407
629,002355,넥센타이어1우B,1730.0,8000.0,4765.397660818713,1331.2491504302072,2950.0,1.6153890375656654,0.08633417202811211,0.6190459243842368,2.711864406779661
135,002270,롯데푸드,211500.0,1438556.9049449142,725403.1941085961,257231.9447946832,376500.0,1.9267017107798037,0.08748980882229274,0.5190217013900221,3.8208682734260666
118,037560,LG헬로비전,2420.0,18900.0,8978.561684460261,3208.1747296855215,4670.0,1.9226042150878504,0.08963684370447289,0.5201278516672276,4.04710920770878
449,009770,삼정펄프,18000.0,49400.0,37029.324403028535,5660.929720538712,29500.0,1.2552313356958826,0.09175075844075459,0.7966658985975793,1.6745762711864407
102,057050,현대홈쇼핑,45050.0,175000.0,111576.99475829936,25096.82388142546,78300.0,1.4249935473601452,0.09242904628914722,0.7017575636412797,2.234993614303959
43,002380,KCC,107000.0,863006.2484871666,427569.1344094959,168241.85648139747,204500.0,2.0908026132493687,0.09243911219454731,0.4782852258089897,4.220079454704971
132,053210,스카이라이프,4760.0,27400.0,14541.860803727432,4610.1178303922225,8460.0,1.718896076090713,0.09354412012041519,0.5817687374528778,3.2387706855791962
240,008060,대덕,4833.881505688231,29117.25666012101,13760.143955728874,5278.94768660006,6800.0,2.0235505817248343,0.09367287014490372,0.49418087644125996,4.281949508841325
17,033780,KT&G,63600.0,137000.0,99481.65404775772,12610.817684450802,82900.0,1.2000199523251835,0.09427588944293597,0.8333194777823313,1.6525934861278648
399,078000,텔코웨어,10450.0,20300.0,13379.994175888178,1473.3343287438543,11450.0,1.1685584433090113,0.09510639011204275,0.8557552304943313,1.7729257641921397
366,002795,아모레G우,16100.0,96500.0,49066.783831282955,21165.296415554512,21950.0,2.2353887850242806,0.10006332188130168,0.44734947526773877,4.396355353075171
168,006840,AK홀딩스,12000.0,102500.0,56617.86331531657,20957.697636524,30250.0,1.8716649029856718,0.10416930860180884,0.5342836735383585,3.3884297520661155
479,025560,미래산업,2494.0166508697534,16645.846336445902,7005.371788636816,2971.0908258736067,3310.0,2.116426522246772,0.1067909876930136,0.47249455130547713,5.028956597113566
306,005810,풍산홀딩스,15543.0869247866,45236.7808319455,30595.54620167679,6204.289418236396,22950.0,1.333139268046919,0.10891850933087266,0.7501091776142969,1.9711015613048148
220,058650,세아홀딩스,45900.0,215000.0,125041.87536400699,38022.355857650495,78500.0,1.5928901320255668,0.11046365391704477,0.6277896886261515,2.738853503184713
156,093050,LF,8940.0,36900.0,24542.067559697145,6316.280632281632,16850.0,1.4565025257980502,0.11164695301100386,0.6865762209729624,2.1899109792284865
229,037710,광주신세계,119000.0,365000.0,228399.53407105416,54622.09607600356,162000.0,1.4098736671052725,0.11206547813536322,0.7092834083873502,2.253086419753086
