,Code,Name,Min,Max,Mean,Std,Current,M/C,Cdf,C/M,Max/Current
671,009310,참엔지니어링,1150.0,1780.0,1445.921111650548,144.8797885701916,1150.0,1.2573227057830851,0.02054956274369637,0.7953407628769262,1.5478260869565217
277,293480,하나제약,19597.20127434135,25886.535636804387,21969.96431722144,1021.1609840789824,19900.0,1.1040183073980623,0.021327651173312565,0.9057820810569606,1.3008309365228334
296,096760,JW홀딩스,3510.0,6233.422957248166,4983.330283601404,591.8723693835851,3785.0,1.316599810726923,0.02145201479053991,0.7595322373986052,1.6468752859308233
379,322000,현대에너지솔루션,20450.0,43850.0,31990.616621983914,5236.6836131197115,21600.0,1.4810470658325887,0.023616891352702576,0.6751979886863607,2.0300925925925926
693,006570,대림통상,3610.0,5290.0,4147.292225201072,222.13295899449065,3710.0,1.1178685243129574,0.0244991896291352,0.8945595821428111,1.4258760107816713
16,036570,엔씨소프트,558000.0,1038000.0,824613.9410187667,102839.37270967328,624000.0,1.3214967003505877,0.025543376082197436,0.7567177426434013,1.6634615384615385
5,068270,셀트리온,199226.2348805648,394908.663294743,281409.64075836836,37277.56640325305,209000.0,1.3464576112840592,0.026041596384739803,0.7426895519171545,1.8895151353815454
397,214420,토니모리,6190.0,11466.55783124646,8733.3539015831,1113.2650264588988,6580.0,1.3272574318515349,0.02654003837340982,0.7534333400604823,1.742637968274538
109,003000,부광약품,12450.0,37910.25045801229,23939.013168930996,5517.845232085378,13300.0,1.7999258021752629,0.026920715960113674,0.5555784570627693,2.8503947712791198
694,00499K,롯데지주우,49300.0,88400.0,62005.36193029491,5477.68426763159,51500.0,1.2039876102969884,0.02756518869310053,0.8305733310273262,1.716504854368932
213,002320,한진,33200.0,51100.0,40925.00763948803,4111.7994000406325,33200.0,1.2326809529966274,0.030139908003058165,0.8112399218703074,1.5391566265060241
904,950210,프레스티지바이오파마,22400.0,50000.0,30786.216216216217,4466.020473087865,22400.0,1.3743846525096526,0.030205445339741163,0.7275983460481612,2.232142857142857
204,008350,남선알미늄,2870.0,6640.0,4479.436997319035,859.287075982235,2870.0,1.5607794415745766,0.03053481088230288,0.6407055176169928,2.313588850174216
